rank,time,records,disciplineName,fullName,participantCountryCode,year,time_seconds
1,0 days 00:00:24.470000,,Women 50 Freestyle,DE BRUIJN Inge,NED,2003,24.47
2,0 days 00:00:24.750000,,Women 50 Freestyle,DE BRUIJN Inge,NED,2003,24.75
3,0 days 00:00:25.070000,,Women 50 Freestyle,MILLS Alice,AUS,2003,25.07
4,0 days 00:00:25.080000,,Women 50 Freestyle,LENTON Libby,AUS,2003,25.08
4,0 days 00:00:25.080000,,Women 50 Freestyle,LENTON Libby,AUS,2003,25.08
6,0 days 00:00:25.090000,,Women 50 Freestyle,THOMPSON Jenny,USA,2003,25.09
7,0 days 00:00:25.100000,,Women 50 Freestyle,THOMPSON Jenny,USA,2003,25.1
8,0 days 00:00:25.140000,,Women 50 Freestyle,VOLKER Sandra,GER,2003,25.14
8,0 days 00:00:25.140000,,Women 50 Freestyle,MILLS Alice,AUS,2003,25.14
10,0 days 00:00:25.160000,,Women 50 Freestyle,SHEPPARD Alison,GBR,2003,25.16
11,0 days 00:00:25.170000,,Women 50 Freestyle,MORAVCOVA Martina,SVK,2003,25.17
12,0 days 00:00:25.240000,"[0, 16]",Women 50 Freestyle,JOYCE Kara Lynn,USA,2003,25.24
13,0 days 00:00:25.260000,,Women 50 Freestyle,DE BRUIJN Inge,NED,2003,25.26
14,0 days 00:00:25.270000,,Women 50 Freestyle,VELDHUIS Magdalena,NED,2003,25.27
14,0 days 00:00:25.270000,,Women 50 Freestyle,THOMPSON Jenny,USA,2003,25.27
16,0 days 00:00:25.290000,"[0, 16]",Women 50 Freestyle,JOYCE Kara Lynn,USA,2003,25.29
17,0 days 00:00:25.300000,,Women 50 Freestyle,KHAKHLOVA Sviatlana,BLR,2003,25.3
18,0 days 00:00:25.320000,,Women 50 Freestyle,MILLS Alice,AUS,2003,25.32
19,0 days 00:00:25.340000,,Women 50 Freestyle,VOLKER Sandra,GER,2003,25.34
20,0 days 00:00:25.350000,,Women 50 Freestyle,MORAVCOVA Martina,SVK,2003,25.35
21,0 days 00:00:25.360000,,Women 50 Freestyle,SHEPPARD Alison,GBR,2003,25.36
