year,disciplineName,time_seconds
2003,Men 100 Backstroke,54.986999999999995
2003,Men 100 Breaststroke,61.412600000000005
2003,Men 100 Butterfly,52.7698
2003,Men 100 Freestyle,49.328199999999995
2003,Men 1500 Freestyle,921.548
2003,Men 200 Backstroke,119.15879999999999
2003,Men 200 Breaststroke,133.3936
2003,Men 200 Butterfly,117.71959999999999
2003,Men 200 Freestyle,108.9596
2003,Men 200 Medley,121.11399999999999
2003,Men 400 Freestyle,231.86599999999999
2003,Men 400 Medley,259.7648
2003,Men 50 Freestyle,22.452800000000003
2003,Women 100 Backstroke,61.6992
2003,Women 100 Breaststroke,69.00439999999999
2003,Women 100 Butterfly,59.448
2003,Women 100 Freestyle,55.283199999999994
2003,Women 200 Backstroke,132.9504
2003,Women 200 Breaststroke,148.6226
2003,Women 200 Butterfly,131.0474
2003,Women 200 Freestyle,120.04639999999999
2003,Women 200 Medley,135.33180000000002
2003,Women 400 Freestyle,252.61
2003,Women 400 Medley,287.0274
2003,Women 50 Freestyle,25.435
2003,Women 800 Freestyle,516.98
2004,Men 100 Backstroke,54.8762
2004,Men 100 Breaststroke,61.2782
2004,Men 100 Butterfly,52.5146
2004,Men 100 Freestyle,49.1342
2004,Men 1500 Freestyle,920.7686
2004,Men 200 Backstroke,119.0818
2004,Men 200 Breaststroke,132.7666
2004,Men 200 Butterfly,117.479
2004,Men 200 Freestyle,108.00120000000001
2004,Men 200 Medley,120.88879999999999
2004,Men 400 Freestyle,230.172
2004,Men 400 Medley,258.8986
2004,Men 50 Freestyle,22.3098
2004,Women 100 Backstroke,61.3838
2004,Women 100 Breaststroke,68.8214
2004,Women 100 Butterfly,58.92359999999999
2004,Women 100 Freestyle,54.8666
2004,Women 200 Backstroke,132.5874
2004,Women 200 Breaststroke,147.76760000000002
2004,Women 200 Butterfly,130.13639999999998
2004,Women 200 Freestyle,119.5712
2004,Women 200 Medley,134.9676
2004,Women 400 Freestyle,250.9542
2004,Women 400 Medley,287.0566
2004,Women 50 Freestyle,25.205
2004,Women 800 Freestyle,522.2272
2005,Men 100 Backstroke,54.8292
2005,Men 100 Breaststroke,61.123400000000004
2005,Men 100 Butterfly,53.0384
2005,Men 100 Freestyle,49.232
2005,Men 1500 Freestyle,931.1536
2005,Men 200 Backstroke,119.9776
2005,Men 200 Breaststroke,133.88219999999998
2005,Men 200 Butterfly,117.9748
2005,Men 200 Freestyle,108.24799999999999
2005,Men 200 Medley,121.87180000000001
2005,Men 400 Freestyle,230.6218
2005,Men 400 Medley,262.3182
2005,Men 50 Freestyle,22.3692
2005,Women 100 Backstroke,61.6708
2005,Women 100 Breaststroke,68.782
2005,Women 100 Butterfly,59.4896
2005,Women 100 Freestyle,55.137
2005,Women 200 Backstroke,132.8768
2005,Women 200 Breaststroke,149.2496
2005,Women 200 Butterfly,130.9272
2005,Women 200 Freestyle,119.4394
2005,Women 200 Medley,135.93120000000002
2005,Women 400 Freestyle,252.7106
2005,Women 400 Medley,289.9004
