year,disciplineName,time_seconds,percentage_change
2003,Men 100 Backstroke,54.987,0
2003,Men 100 Breaststroke,61.4126,0
2003,Men 100 Butterfly,52.7698,0
2003,Men 100 Freestyle,49.3282,0
2003,Men 1500 Freestyle,921.548,0
2003,Men 200 Backstroke,119.1588,0
2003,Men 200 Breaststroke,133.3936,0
2003,Men 200 Butterfly,117.7196,0
2003,Men 200 Freestyle,108.9596,0
2003,Men 200 Medley,121.114,0
2003,Men 400 Freestyle,231.866,0
2003,Men 400 Medley,259.7648,0
2003,Men 50 Freestyle,22.4528,0
2003,Women 100 Backstroke,61.6992,0
2003,Women 100 Breaststroke,69.0044,0
2003,Women 100 Butterfly,59.448,0
2003,Women 100 Freestyle,55.2832,0
2003,Women 200 Backstroke,132.9504,0
2003,Women 200 Breaststroke,148.6226,0
2003,Women 200 Butterfly,131.0474,0
2003,Women 200 Freestyle,120.0464,0
2003,Women 200 Medley,135.3318,0
2003,Women 400 Freestyle,252.61,0
2003,Women 400 Medley,287.0274,0
2003,Women 50 Freestyle,25.435,0
2003,Women 800 Freestyle,516.98,0
2004,Men 100 Backstroke,54.8762,-0.201502173
2004,Men 100 Breaststroke,61.2782,-0.218847598
2004,Men 100 Butterfly,52.5146,-0.483609944
2004,Men 100 Freestyle,49.1342,-0.393284166
2004,Men 1500 Freestyle,920.7686,-0.084575085
2004,Men 200 Backstroke,119.0818,-0.06461965
2004,Men 200 Breaststroke,132.7666,-0.470037543
2004,Men 200 Butterfly,117.479,-0.204383977
2004,Men 200 Freestyle,108.0012,-0.879592069
2004,Men 200 Medley,120.8888,-0.185940519
2004,Men 400 Freestyle,230.172,-0.730594395
2004,Men 400 Medley,258.8986,-0.333455495
2004,Men 50 Freestyle,22.3098,-0.636891613
2004,Women 100 Backstroke,61.3838,-0.511189772
2004,Women 100 Breaststroke,68.8214,-0.26520048
2004,Women 100 Butterfly,58.9236,-0.882115462
2004,Women 100 Freestyle,54.8666,-0.753574323
2004,Women 200 Backstroke,132.5874,-0.273034154
2004,Women 200 Breaststroke,147.7676,-0.575282629
2004,Women 200 Butterfly,130.1364,-0.695168313
2004,Women 200 Freestyle,119.5712,-0.395846939
2004,Women 200 Medley,134.9676,-0.26911635
2004,Women 400 Freestyle,250.9542,-0.655476822
2004,Women 400 Medley,287.0566,0.010173245
2004,Women 50 Freestyle,25.205,-0.904265776
2004,Women 800 Freestyle,522.2272,1.014971566
2005,Men 100 Backstroke,54.8292,-0.286976922
2005,Men 100 Breaststroke,61.1234,-0.470913135
2005,Men 100 Butterfly,53.0384,0.509003256
2005,Men 100 Freestyle,49.232,-0.195020293
2005,Men 1500 Freestyle,931.1536,1.042333118
2005,Men 200 Backstroke,119.9776,0.687150257
2005,Men 200 Breaststroke,133.8822,0.366284439
2005,Men 200 Butterfly,117.9748,0.21678633
2005,Men 200 Freestyle,108.248,-0.653086098
2005,Men 200 Medley,121.8718,0.625691497
2005,Men 400 Freestyle,230.6218,-0.536603038
2005,Men 400 Medley,262.3182,0.982966129
2005,Men 50 Freestyle,22.3692,-0.372336635
2005,Women 100 Backstroke,61.6708,-0.04602977
2005,Women 100 Breaststroke,68.782,-0.322298288
2005,Women 100 Butterfly,59.4896,0.069977123
2005,Women 100 Freestyle,55.137,-0.264456471
2005,Women 200 Backstroke,132.8768,-0.055358991
2005,Women 200 Breaststroke,149.2496,0.421873928
2005,Women 200 Butterfly,130.9272,-0.091722537
2005,Women 200 Freestyle,119.4394,-0.50563782
2005,Women 200 Medley,135.9312,0.442911422
2005,Women 400 Freestyle,252.7106,0.039824235
2005,Women 400 Medley,289.9004,1.000949735
2005,Women 50 Freestyle,25.4582,0.091212896
2005,Women 800 Freestyle,518.4664,0.287515958
2006,Men 100 Backstroke,54.5106,-0.8663866
2006,Men 100 Breaststroke,61.0328,-0.618439864
2006,Men 100 Butterfly,52.9398,0.322153959
2006,Men 100 Freestyle,49.1422,-0.377066262
2006,Men 1500 Freestyle,915.4768,-0.658804533
2006,Men 200 Backstroke,119.276,0.098356143
2006,Men 200 Breaststroke,132.7692,-0.468088424
2006,Men 200 Butterfly,117.2416,-0.40604963
2006,Men 200 Freestyle,108.1008,-0.788182042
2006,Men 200 Medley,121.3186,0.16893175
2006,Men 400 Freestyle,229.421,-1.054488368
2006,Men 400 Medley,258.9914,-0.29773087
2006,Men 50 Freestyle,22.3248,-0.5700848
2006,Women 100 Backstroke,61.339,-0.583800114
2006,Women 100 Breaststroke,68.2486,-1.095292474
2006,Women 100 Butterfly,59.0024,-0.749562643
2006,Women 100 Freestyle,54.6594,-1.12837173
2006,Women 200 Backstroke,131.9748,-0.733807495
2006,Women 200 Breaststroke,147.8852,-0.496156035
2006,Women 200 Butterfly,129.5012,-1.179878426
2006,Women 200 Freestyle,119.144,-0.751709339
2006,Women 200 Medley,134.6274,-0.520498508
2006,Women 400 Freestyle,250.3148,-0.908594276
2006,Women 400 Medley,284.4804,-0.887371728
2006,Women 50 Freestyle,25.2856,-0.587379595
2006,Women 800 Freestyle,516.5478,-0.083600913
2007,Men 100 Backstroke,54.4544,-0.968592576
2007,Men 100 Breaststroke,61.0706,-0.556888977
2007,Men 100 Butterfly,52.3124,-0.866783653
2007,Men 100 Freestyle,48.965,-0.73629283
2007,Men 1500 Freestyle,910.7238,-1.174567141
2007,Men 200 Backstroke,118.8402,-0.267374294
2007,Men 200 Breaststroke,132.5826,-0.607975195
2007,Men 200 Butterfly,116.7158,-0.852704223
2007,Men 200 Freestyle,107.9178,-0.9561342
2007,Men 200 Medley,120.137,-0.806678006
2007,Men 400 Freestyle,229.7142,-0.928036021
2007,Men 400 Medley,259.1706,-0.228745388
2007,Men 50 Freestyle,22.2456,-0.92282477
2007,Women 100 Backstroke,61.1036,-0.965328562
2007,Women 100 Breaststroke,68.4342,-0.826324118
2007,Women 100 Butterfly,58.8808,-0.954111156
2007,Women 100 Freestyle,54.6092,-1.219176893
2007,Women 200 Backstroke,131.1956,-1.319890726
2007,Women 200 Breaststroke,147.2466,-0.925834967
2007,Women 200 Butterfly,129.4846,-1.192545598
2007,Women 200 Freestyle,118.4174,-1.356975303
2007,Women 200 Medley,134.4204,-0.673455906
2007,Women 400 Freestyle,249.9178,-1.065753533
2007,Women 400 Medley,285.391,-0.570119786
2007,Women 50 Freestyle,25.2124,-0.875172007
2007,Women 800 Freestyle,513.5756,-0.65851677
2008,Men 100 Backstroke,53.7018,-2.337279721
2008,Men 100 Breaststroke,60.1848,-1.999263995
2008,Men 100 Butterfly,51.6558,-2.111055945
2008,Men 100 Freestyle,47.9634,-2.766774381
2008,Men 1500 Freestyle,902.045,-2.116330349
2008,Men 200 Backstroke,117.1938,-1.64905991
2008,Men 200 Breaststroke,130.0072,-2.538652529
2008,Men 200 Butterfly,115.3472,-2.015297368
2008,Men 200 Freestyle,106.511,-2.247254946
2008,Men 200 Medley,118.9736,-1.767260597
2008,Men 400 Freestyle,226.6462,-2.251214063
2008,Men 400 Medley,254.9404,-1.85721853
2008,Men 50 Freestyle,21.7888,-2.957314901
2008,Women 100 Backstroke,59.7112,-3.222083917
2008,Women 100 Breaststroke,67.8236,-1.711195228
2008,Women 100 Butterfly,58.1262,-2.223455793
2008,Women 100 Freestyle,53.9294,-2.448845219
2008,Women 200 Backstroke,128.877,-3.063849375
2008,Women 200 Breaststroke,145.1182,-2.357918648
2008,Women 200 Butterfly,127.7544,-2.512831235
2008,Women 200 Freestyle,117.314,-2.2761199
2008,Women 200 Medley,131.9972,-2.464018065
2008,Women 400 Freestyle,247.0722,-2.192233087
2008,Women 400 Medley,278.7478,-2.884602655
2008,Women 50 Freestyle,24.6586,-3.052486731
2008,Women 800 Freestyle,508.8172,-1.578939224
2009,Men 100 Backstroke,52.9332,-3.735064652
2009,Men 100 Breaststroke,59.488,-3.133884577
2009,Men 100 Butterfly,51.141,-3.086613934
2009,Men 100 Freestyle,47.8076,-3.082618056
2009,Men 1500 Freestyle,912.3106,-1.002378606
2009,Men 200 Backstroke,116.346,-2.360547438
2009,Men 200 Breaststroke,129.1906,-3.150825827
2009,Men 200 Butterfly,115.2076,-2.133884247
2009,Men 200 Freestyle,105.6582,-3.02993036
2009,Men 200 Medley,118.2238,-2.386346748
2009,Men 400 Freestyle,227.1234,-2.045405536
2009,Men 400 Medley,255.0672,-1.808405142
2009,Men 50 Freestyle,21.5816,-3.880139671
2009,Women 100 Backstroke,59.633,-3.348827862
2009,Women 100 Breaststroke,66.761,-3.251097031
2009,Women 100 Butterfly,57.5194,-3.244179787
2009,Women 100 Freestyle,53.506,-3.214719843
2009,Women 200 Backstroke,129.218,-2.807362746
2009,Women 200 Breaststroke,143.8922,-3.182826838
2009,Women 200 Butterfly,126.5612,-3.423341478
2009,Women 200 Freestyle,116.5754,-2.891381999
2009,Women 200 Medley,130.9502,-3.237672151
2009,Women 400 Freestyle,247.567,-1.996358022
2009,Women 400 Medley,280.3856,-2.31399511
2009,Women 50 Freestyle,24.611,-3.239630431
2009,Women 800 Freestyle,509.4986,-1.447135286
2010,Men 100 Backstroke,53.8272,-2.109225817
2010,Men 100 Breaststroke,60.4692,-1.536166845
2010,Men 100 Butterfly,52.2408,-1.00246732
2010,Men 100 Freestyle,48.601,-1.474207451
2010,Men 1500 Freestyle,909.3592,-1.322644073
2010,Men 200 Backstroke,117.8028,-1.13797722
2010,Men 200 Breaststroke,131.37,-1.51701431
2010,Men 200 Butterfly,116.4056,-1.116211744
2010,Men 200 Freestyle,107.0556,-1.747436665
2010,Men 200 Medley,119.5126,-1.322225341
2010,Men 400 Freestyle,228.6032,-1.407192085
2010,Men 400 Medley,255.5032,-1.640561
2010,Men 50 Freestyle,22.0144,-1.95254044
2010,Women 100 Backstroke,60.1088,-2.577667133
2010,Women 100 Breaststroke,67.4574,-2.241886025
2010,Women 100 Butterfly,58.2516,-2.012515139
2010,Women 100 Freestyle,54.3482,-1.691291387
2010,Women 200 Backstroke,129.1786,-2.836997858
2010,Women 200 Breaststroke,145.6418,-2.005616912
2010,Women 200 Butterfly,128.322,-2.079705511
2010,Women 200 Freestyle,117.608,-2.031214597
2010,Women 200 Medley,132.0426,-2.430470887
2010,Women 400 Freestyle,248.0656,-1.798978663
2010,Women 400 Medley,280.3836,-2.314691907
2010,Women 50 Freestyle,24.9626,-1.857283271
2010,Women 800 Freestyle,510.2212,-1.307361987
2011,Men 100 Backstroke,53.3426,-2.990525033
2011,Men 100 Breaststroke,60.0956,-2.144511061
2011,Men 100 Butterfly,51.8926,-1.66231443
2011,Men 100 Freestyle,48.3198,-2.044266768
2011,Men 1500 Freestyle,899.8252,-2.357207655
2011,Men 200 Backstroke,116.5342,-2.202606941
2011,Men 200 Breaststroke,130.3308,-2.29606218
2011,Men 200 Butterfly,115.4454,-1.931878804
2011,Men 200 Freestyle,106.3842,-2.363628354
2011,Men 200 Medley,118.4272,-2.218405799
2011,Men 400 Freestyle,226.614,-2.265101395
2011,Men 400 Medley,253.638,-2.35859516
2011,Men 50 Freestyle,21.974,-2.132473455
2011,Women 100 Backstroke,59.5636,-3.461309061
2011,Women 100 Breaststroke,66.7772,-3.227620268
2011,Women 100 Butterfly,57.591,-3.123738393
2011,Women 100 Freestyle,53.9286,-2.450292313
2011,Women 200 Backstroke,128.1106,-3.640304956
2011,Women 200 Breaststroke,144.5216,-2.759338082
2011,Women 200 Butterfly,126.9292,-3.142527055
2011,Women 200 Freestyle,116.7316,-2.761265644
2011,Women 200 Medley,130.9562,-3.233238603
2011,Women 400 Freestyle,245.9026,-2.655239302
2011,Women 400 Medley,277.1298,-3.448311903
