year,Men 100 Backstroke,Men 100 Breaststroke,Men 100 Butterfly,Men 100 Freestyle,Men 1500 Freestyle,Men 200 Backstroke,Men 200 Breaststroke,Men 200 Butterfly,Men 200 Freestyle,Men 200 Medley,Men 400 Freestyle,Men 400 Medley,Men 50 Freestyle,Women 100 Backstroke,Women 100 Breaststroke,Women 100 Butterfly,Women 100 Freestyle,Women 200 Backstroke,Women 200 Breaststroke,Women 200 Butterfly,Women 200 Freestyle,Women 200 Medley,Women 400 Freestyle,Women 400 Medley,Women 50 Freestyle,Women 800 Freestyle
2003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2004,-0.201502173,-0.218847598,-0.483609944,-0.393284166,-0.084575085,-0.06461965,-0.470037543,-0.204383977,-0.879592069,-0.185940519,-0.730594395,-0.333455495,-0.636891613,-0.511189772,-0.26520048,-0.882115462,-0.753574323,-0.273034154,-0.575282629,-0.695168313,-0.395846939,-0.26911635,-0.655476822,0.010173245,-0.904265776,1.014971566
2005,-0.286976922,-0.470913135,0.509003256,-0.195020293,1.042333118,0.687150257,0.366284439,0.21678633,-0.653086098,0.625691497,-0.536603038,0.982966129,-0.372336635,-0.04602977,-0.322298288,0.069977123,-0.264456471,-0.055358991,0.421873928,-0.091722537,-0.50563782,0.442911422,0.039824235,1.000949735,0.091212896,0.287515958
2006,-0.8663866,-0.618439864,0.322153959,-0.377066262,-0.658804533,0.098356143,-0.468088424,-0.40604963,-0.788182042,0.16893175,-1.054488368,-0.29773087,-0.5700848,-0.583800114,-1.095292474,-0.749562643,-1.12837173,-0.733807495,-0.496156035,-1.179878426,-0.751709339,-0.520498508,-0.908594276,-0.887371728,-0.587379595,-0.083600913
2007,-0.968592576,-0.556888977,-0.866783653,-0.73629283,-1.174567141,-0.267374294,-0.607975195,-0.852704223,-0.9561342,-0.806678006,-0.928036021,-0.228745388,-0.92282477,-0.965328562,-0.826324118,-0.954111156,-1.219176893,-1.319890726,-0.925834967,-1.192545598,-1.356975303,-0.673455906,-1.065753533,-0.570119786,-0.875172007,-0.65851677
2008,-2.337279721,-1.999263995,-2.111055945,-2.766774381,-2.116330349,-1.64905991,-2.538652529,-2.015297368,-2.247254946,-1.767260597,-2.251214063,-1.85721853,-2.957314901,-3.222083917,-1.711195228,-2.223455793,-2.448845219,-3.063849375,-2.357918648,-2.512831235,-2.2761199,-2.464018065,-2.192233087,-2.884602655,-3.052486731,-1.578939224
2009,-3.735064652,-3.133884577,-3.086613934,-3.082618056,-1.002378606,-2.360547438,-3.150825827,-2.133884247,-3.02993036,-2.386346748,-2.045405536,-1.808405142,-3.880139671,-3.348827862,-3.251097031,-3.244179787,-3.214719843,-2.807362746,-3.182826838,-3.423341478,-2.891381999,-3.237672151,-1.996358022,-2.31399511,-3.239630431,-1.447135286
2010,-2.109225817,-1.536166845,-1.00246732,-1.474207451,-1.322644073,-1.13797722,-1.51701431,-1.116211744,-1.747436665,-1.322225341,-1.407192085,-1.640561,-1.95254044,-2.577667133,-2.241886025,-2.012515139,-1.691291387,-2.836997858,-2.005616912,-2.079705511,-2.031214597,-2.430470887,-1.798978663,-2.314691907,-1.857283271,-1.307361987
2011,-2.990525033,-2.144511061,-1.66231443,-2.044266768,-2.357207655,-2.202606941,-2.29606218,-1.931878804,-2.363628354,-2.218405799,-2.265101395,-2.35859516,-2.132473455,-3.461309061,-3.227620268,-3.123738393,-2.450292313,-3.640304956,-2.759338082,-3.142527055,-2.761265644,-3.233238603,-2.655239302,-3.448311903,-2.962060153,-2.121397346
2012,-3.256042337,-2.796168864,-1.932544751,-2.408764155,-2.775395313,-2.604255833,-3.284565376,-2.312444147,-2.649055246,-2.877619433,-2.376286303,-2.917639341,-3.065096558,-3.921930916,-3.418912417,-3.480689006,-3.035641931,-3.872572027,-3.524363051,-3.191974812,-3.112962988,-3.486837536,-3.124658565,-4.098424053,-3.763318262,-2.362915393
